stopword,count,in_nltk,in_sklearn,in_custom
the,80732,1,1,0
and,40677,1,1,0
for,24352,1,1,0
have,20775,1,1,0
with,20609,1,1,0
you,18178,1,1,0
are,17857,1,1,0
that,15769,1,1,0
this,15661,1,1,0
from,10345,1,1,0
but,10039,1,1,0
all,9490,1,1,0
they,9113,1,1,0
was,8071,1,1,0
will,8006,1,1,0
has,8002,1,1,0
had,7251,1,1,0
just,6680,1,0,0
been,6427,1,1,0
who,6186,1,1,0
our,6165,1,1,0
about,6097,1,1,0
now,5885,1,1,0
your,5672,1,1,0
can,5596,1,1,0
more,5424,1,1,0
what,5367,1,1,0
out,5352,1,1,0
there,4774,1,1,0
how,4696,1,1,0
when,4487,1,1,0
their,4303,1,1,0
after,3878,1,1,0
over,3744,1,1,0
than,3225,1,1,0
being,3182,1,1,0
why,3104,1,1,0
only,2983,1,1,0
down,2975,1,1,0
because,2960,1,1,0
some,2958,1,1,0
his,2920,1,1,0
them,2864,1,1,0
did,2847,1,0,0
should,2764,1,1,0
very,2703,1,1,0
were,2686,1,1,0
could,2544,0,1,0
then,2537,1,1,0
before,2255,1,1,0
here,2245,1,1,0
other,2242,1,1,0
any,2227,1,1,0
does,2213,1,0,0
those,2138,1,1,0
which,2065,1,1,0
too,2049,1,1,0
during,2047,1,1,0
into,2012,1,1,0
these,2001,1,1,0
off,1995,1,1,0
again,1872,1,1,0
she,1866,1,1,0
her,1843,1,1,0
its,1802,1,1,0
having,1749,1,0,0
most,1547,1,1,0
against,1543,1,1,0
where,1498,1,1,0
through,1430,1,1,0
same,1417,1,1,0
doing,1309,1,0,0
him,1284,1,1,0
under,1074,1,1,0
few,1058,1,1,0
both,1000,1,1,0
until,939,1,1,0
while,902,1,1,0
such,896,1,1,0
own,762,1,1,0
might,707,0,1,0
between,603,1,1,0
once,569,1,1,0
each,509,1,1,0
myself,381,1,1,0
further,343,1,1,0
below,293,1,1,0
yourself,293,1,1,0
themselves,231,1,1,0
above,187,1,1,0
yours,149,1,1,0
itself,136,1,1,0
won,111,1,0,0
himself,107,1,1,0
whom,103,1,1,0
ourselves,78,1,1,0
yourselves,55,1,1,0
ours,49,1,1,0
theirs,46,1,0,0
herself,36,1,1,0
hers,20,1,1,0
haven,10,1,0,0
don,8,1,0,0
shan,2,1,0,0
aren,2,1,0,0
wasn,2,1,0,0
doesn,1,1,0,0
wouldn,1,1,0,0
isn,1,1,0,0
